network,b,delta,r,tau,wall
ring,1.0,0.01,1.0,44.3,34.9
ring,1.0,0.02,1.0,43.9,34.3
ring,1.0,0.2,1.0,36.3,29.1
ring,2.0,0.01,1.0,44.5,36.3
ring,2.0,0.02,1.0,44.3,34.8
ring,2.0,0.2,1.0,39.5,31.7
ring,3.0,0.01,1.0,44.7,35.1
ring,3.0,0.02,1.0,44.5,34.9
ring,3.0,0.2,1.0,41.8,32.5
custom,1.0,0.01,1.0,11.7,9.3
custom,1.0,0.02,1.0,11.6,10.0
custom,1.0,0.2,1.0,10.7,9.8
custom,2.0,0.01,1.0,11.7,10.5
custom,2.0,0.02,1.0,11.6,9.9
custom,2.0,0.2,1.0,10.6,8.5
custom,3.0,0.01,1.0,11.7,11.3
custom,3.0,0.02,1.0,11.6,9.9
custom,3.0,0.2,1.0,10.6,9.4
bipartite,1.0,0.01,1.0,26.0,27.3
bipartite,1.0,0.02,1.0,25.9,30.0
bipartite,1.0,0.2,1.0,21.6,23.6
bipartite,2.0,0.01,1.0,26.0,28.3
bipartite,2.0,0.02,1.0,25.9,29.3
bipartite,2.0,0.2,1.0,21.7,23.0
bipartite,3.0,0.01,1.0,26.0,28.1
bipartite,3.0,0.02,1.0,25.9,26.8
bipartite,3.0,0.2,1.0,21.8,22.6
complete,1.0,0.01,1.0,25.19846,
complete,1.0,0.02,1.0,25.009375,
complete,1.0,0.2,1.0,20.618135,
complete,2.0,0.01,1.0,25.192985,
complete,2.0,0.02,1.0,24.953155,
complete,2.0,0.2,1.0,20.27582,
complete,3.0,0.01,1.0,25.175035,
complete,3.0,0.02,1.0,24.944695,
complete,3.0,0.2,1.0,20.04632,
